GEOID,scenario,dest_id,dest_name,dest_type,travel_time_min,reachable
13121005300,rail_only,grady,Grady Memorial Hospital,hospital,NA,FALSE
13121005300,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121005300,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121005300,bus_rail,midtown,Midtown,job_center,17,TRUE
13121005300,bus_rail,downtown,Downtown,job_center,6.233333333333333,TRUE
13121005300,bus_rail,gatech,Georgia Tech,education,16.066666666666666,TRUE
13121005300,bus_rail,emory,Emory,education,72.91666666666667,TRUE
13121005300,bus_rail,grady,Grady Memorial Hospital,hospital,6.933333333333334,TRUE
13121005300,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,39.86666666666667,TRUE
13121005300,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121005200,rail_only,midtown,Midtown,job_center,NA,FALSE
13121005200,rail_only,downtown,Downtown,job_center,NA,FALSE
13121005200,rail_only,gatech,Georgia Tech,education,NA,FALSE
13121005200,rail_only,emory,Emory,education,NA,FALSE
13121005200,rail_only,grady,Grady Memorial Hospital,hospital,NA,FALSE
13121005200,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121005200,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121005200,bus_rail,midtown,Midtown,job_center,50.45,TRUE
13121005200,bus_rail,downtown,Downtown,job_center,11.9,TRUE
13121005200,bus_rail,gatech,Georgia Tech,education,34.6,TRUE
13121005200,bus_rail,emory,Emory,education,84.11666666666666,TRUE
13121005200,bus_rail,grady,Grady Memorial Hospital,hospital,11.9,TRUE
13121005200,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,68.31666666666666,TRUE
13121005200,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121007604,rail_only,midtown,Midtown,job_center,NA,FALSE
13121007604,rail_only,downtown,Downtown,job_center,NA,FALSE
13121007604,rail_only,gatech,Georgia Tech,education,NA,FALSE
13121007604,rail_only,emory,Emory,education,NA,FALSE
13121007604,rail_only,grady,Grady Memorial Hospital,hospital,NA,FALSE
13121007604,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121007604,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121007604,bus_rail,midtown,Midtown,job_center,48.85,TRUE
13121007604,bus_rail,downtown,Downtown,job_center,30.55,TRUE
13121007604,bus_rail,gatech,Georgia Tech,education,35.95,TRUE
13121007604,bus_rail,emory,Emory,education,NA,FALSE
13121007604,bus_rail,grady,Grady Memorial Hospital,hospital,55.766666666666666,TRUE
13121007604,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,63.583333333333336,TRUE
13121007604,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121001001,rail_only,midtown,Midtown,job_center,0,TRUE
13121001001,rail_only,downtown,Downtown,job_center,0,TRUE
13121001001,rail_only,gatech,Georgia Tech,education,0,TRUE
13121001001,rail_only,emory,Emory,education,NA,FALSE
13121001001,rail_only,grady,Grady Memorial Hospital,hospital,1,TRUE
13121001001,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121001001,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121001001,bus_rail,midtown,Midtown,job_center,0,TRUE
13121001001,bus_rail,downtown,Downtown,job_center,0,TRUE
13121001001,bus_rail,gatech,Georgia Tech,education,0,TRUE
13121001001,bus_rail,emory,Emory,education,13,TRUE
